tick,flight_id,origin,destination,phase,altitude,delay
9,FL006,KRNT,KTTD,Initial_Climb,3000,2
9,FL007,KEUG,KTTD,Initial_Climb,3000,4
9,FL008,KBOI,KTTD,Climb,12000,0
9,FL009,KBFI,KPDX,Climb,12000,0
9,FL010,KRNT,KBOI,Initial_Climb,3000,4
9,FL011,KTTD,KPDX,Initial_Climb,3000,0
10,FL000,KRNT,KBFI,Climb,12000,0
10,FL001,KPAE,KGEG,Climb,12000,0
10,FL002,KOLM,KSEA,Climb,12000,0
10,FL003,KEUG,KSEA,Climb,12000,0
10,FL004,KSEA,KEUG,Climb,12000,0
10,FL005,KEUG,KTTD,Initial_Climb,3000,2
10,FL006,KRNT,KTTD,Initial_Climb,3000,2
10,FL007,KEUG,KTTD,Initial_Climb,3000,4
10,FL008,KBOI,KTTD,Climb,12000,0
10,FL009,KBFI,KPDX,Climb,12000,0
10,FL010,KRNT,KBOI,Initial_Climb,3000,4
10,FL011,KTTD,KPDX,Initial_Climb,3000,0
11,FL000,KRNT,KBFI,Climb,12000,0
11,FL001,KPAE,KGEG,Climb,12000,0
11,FL002,KOLM,KSEA,Cruise,35000,0
11,FL003,KEUG,KSEA,Climb,12000,0
11,FL004,KSEA,KEUG,Cruise,35000,0
11,FL005,KEUG,KTTD,Climb,12000,2
11,FL006,KRNT,KTTD,Climb,12000,2
11,FL007,KEUG,KTTD,Climb,12000,4
11,FL008,KBOI,KTTD,Climb,12000,0
11,FL009,KBFI,KPDX,Climb,12000,0
11,FL010,KRNT,KBOI,Initial_Climb,3000,4
11,FL011,KTTD,KPDX,Climb,12000,0
12,FL000,KRNT,KBFI,Climb,12000,0
12,FL001,KPAE,KGEG,Cruise,35000,0
12,FL002,KOLM,KSEA,Cruise,35000,0
12,FL003,KEUG,KSEA,Climb,12000,0
12,FL004,KSEA,KEUG,Cruise,35000,0
12,FL005,KEUG,KTTD,Climb,12000,2
