tick,flight_id,origin,destination,phase,altitude,delay
9,FL014,KEUG,KTTD,Initial_Climb,3000,4
10,FL000,KTTD,KEUG,Climb,12000,0
10,FL001,KPDX,KBFI,Climb,12000,0
10,FL002,KPDX,KRNT,Climb,12000,2
10,FL003,KGEG,KRNT,Climb,12000,0
10,FL004,KRNT,KSEA,Climb,12000,0
10,FL005,KEUG,KRNT,Climb,12000,0
10,FL006,KPAE,KBOI,Climb,12000,0
10,FL007,KSEA,KGEG,Climb,12000,0
10,FL008,KSEA,KGEG,Climb,12000,2
10,FL009,KEUG,KBFI,Climb,12000,2
10,FL010,KGEG,KRNT,Initial_Climb,3000,2
10,FL011,KGEG,KOLM,Initial_Climb,3000,4
10,FL012,KTTD,KBFI,Initial_Climb,3000,2
10,FL013,KGEG,KTTD,Initial_Climb,3000,6
10,FL014,KEUG,KTTD,Initial_Climb,3000,4
11,FL000,KTTD,KEUG,Climb,12000,0
11,FL001,KPDX,KBFI,Climb,12000,0
11,FL002,KPDX,KRNT,Climb,12000,2
11,FL003,KGEG,KRNT,Climb,12000,0
11,FL004,KRNT,KSEA,Climb,12000,0
11,FL005,KEUG,KRNT,Climb,12000,0
11,FL006,KPAE,KBOI,Climb,12000,0
11,FL007,KSEA,KGEG,Climb,12000,0
11,FL008,KSEA,KGEG,Climb,12000,2
11,FL009,KEUG,KBFI,Climb,12000,2
11,FL010,KGEG,KRNT,Initial_Climb,3000,2
11,FL011,KGEG,KOLM,Initial_Climb,3000,4
11,FL012,KTTD,KBFI,Climb,12000,2
11,FL013,KGEG,KTTD,Initial_Climb,3000,6
11,FL014,KEUG,KTTD,Climb,12000,4
12,FL000,KTTD,KEUG,Cruise,35000,0
12,FL001,KPDX,KBFI,Cruise,35000,0
12,FL002,KPDX,KRNT,Climb,12000,2
12,FL003,KGEG,KRNT,Climb,12000,0
12,FL004,KRNT,KSEA,Climb,12000,0
12,FL005,KEUG,KRNT,Climb,12000,0
12,FL006,KPAE,KBOI,Cruise,35000,0
12,FL007,KSEA,KGEG,Climb,12000,0
12,FL008,KSEA,KGEG,Climb,12000,2
12,FL009,KEUG,KBFI,Climb,12000,2
12,FL010,KGEG,KRNT,Climb,12000,2
12,FL011,KGEG,KOLM,Initial_Climb,3000,4
12,FL012,KTTD,KBFI,Climb,12000,2
12,FL013,KGEG,KTTD,Initial_Climb,3000,6
12,FL014,KEUG,KTTD,Climb,12000,4
13,FL000,KTTD,KEUG,Cruise,35000,0
13,FL001,KPDX,KBFI,Cruise,35000,0
13,FL002,KPDX,KRNT,Climb,12000,2
13,FL003,KGEG,KRNT,Cruise,35000,0
13,FL004,KRNT,KSEA,Cruise,35000,0
13,FL005,KEUG,KRNT,Climb,12000,0
13,FL006,KPAE,KBOI,Cruise,35000,0
13,FL007,KSEA,KGEG,Cruise,35000,0
13,FL008,KSEA,KGEG,Cruise,35000,2
13,FL009,KEUG,KBFI,Cruise,35000,2
13,FL010,KGEG,KRNT,Climb,12000,2
13,FL011,KGEG,KOLM,Initial_Climb,3000,4
13,FL012,KTTD,KBFI,Climb,12000,2
13,FL013,KGEG,KTTD,Initial_Climb,3000,6
13,FL014,KEUG,KTTD,Climb,12000,4
14,FL000,KTTD,KEUG,Cruise,35000,0
14,FL001,KPDX,KBFI,Cruise,35000,0
14,FL002,KPDX,KRNT,Climb,12000,2
14,FL003,KGEG,KRNT,Cruise,35000,0
14,FL004,KRNT,KSEA,Cruise,35000,0
14,FL005,KEUG,KRNT,Cruise,35000,0
14,FL006,KPAE,KBOI,Cruise,35000,0
14,FL007,KSEA,KGEG,Cruise,35000,0
14,FL008,KSEA,KGEG,Cruise,35000,2
14,FL009,KEUG,KBFI,Cruise,35000,2
14,FL010,KGEG,KRNT,Climb,12000,2
14,FL011,KGEG,KOLM,Initial_Climb,3000,4
14,FL012,KTTD,KBFI,Cruise,35000,2
14,FL013,KGEG,KTTD,Initial_Climb,3000,6
14,FL014,KEUG,KTTD,Climb,12000,4
15,FL000,KTTD,KEUG,Descent,15000,0
